sequence,cue,start_frame,end_frame,text,green_keyword
short 02 - You do not need the smartest AI - 16x9,1,0,29,IF YOU ARE BUILDING,
short 02 - You do not need the smartest AI - 16x9,2,29,63,WORDPRESS WEBSITES,
short 02 - You do not need the smartest AI - 16x9,3,63,86,AND YOU'RE DOING LIKE,
short 02 - You do not need the smartest AI - 16x9,4,86,129,"50 WEBSITES PER MONTH,",
short 02 - You do not need the smartest AI - 16x9,5,137,171,THEN THE CHEAPER MODEL,
short 02 - You do not need the smartest AI - 16x9,6,171,197,IS GOOD ENOUGH.,
short 02 - You do not need the smartest AI - 16x9,7,204,239,THERE IS NO BIG,
short 02 - You do not need the smartest AI - 16x9,8,239,275,COMPLICATED CODE,
short 02 - You do not need the smartest AI - 16x9,9,275,288,NEEDED.,
short 02 - You do not need the smartest AI - 16x9,10,288,309,MAYBE IF YOU HAVE,
short 02 - You do not need the smartest AI - 16x9,11,309,345,LIKE THE SAME ROUTINES,ROUTINES
short 02 - You do not need the smartest AI - 16x9,12,345,368,ALL THE TIME AND,
short 02 - You do not need the smartest AI - 16x9,13,368,381,YOU HAVE THE,
short 02 - You do not need the smartest AI - 16x9,14,381,405,SAME TASK,
short 02 - You do not need the smartest AI - 16x9,15,405,425,AGAIN AND AGAIN,
short 02 - You do not need the smartest AI - 16x9,16,425,438,"AND AGAIN,",
short 02 - You do not need the smartest AI - 16x9,17,438,456,THEN YOU DON'T NEED,
short 02 - You do not need the smartest AI - 16x9,18,456,477,TO UPGRADE THE,
short 02 - You do not need the smartest AI - 16x9,19,477,498,FRONTIER MODEL.,
short 02 - You do not need the smartest AI - 16x9,20,498,522,BUT ALSO IF YOU,
short 02 - You do not need the smartest AI - 16x9,21,522,546,JUST PUT IT IN-HOUSE,
short 02 - You do not need the smartest AI - 16x9,22,546,567,AND YOU HAVE LIKE,
short 02 - You do not need the smartest AI - 16x9,23,567,594,A BIG WAREHOUSE,
short 02 - You do not need the smartest AI - 16x9,24,594,609,AND YOU NEED TO,
short 02 - You do not need the smartest AI - 16x9,25,609,636,"TRACK, YOU KNOW,",
short 02 - You do not need the smartest AI - 16x9,26,636,669,STOCK AND,
short 02 - You do not need the smartest AI - 16x9,27,669,711,EVERYTHING IN-HOUSE,
short 02 - You do not need the smartest AI - 16x9,28,711,734,THAT PEOPLE NOW,
short 02 - You do not need the smartest AI - 16x9,29,734,755,DO MANUALLY,
short 02 - You do not need the smartest AI - 16x9,30,755,774,AND YOU ALWAYS,
short 02 - You do not need the smartest AI - 16x9,31,774,803,HAVE DIFFERENCES,
short 02 - You do not need the smartest AI - 16x9,32,810,839,AND THAT WILL COST,
short 02 - You do not need the smartest AI - 16x9,33,839,860,SO MUCH MONEY.,
short 02 - You do not need the smartest AI - 16x9,34,860,906,THE 5K WILL BE,
short 02 - You do not need the smartest AI - 16x9,35,906,926,EARNED BACK IN,
short 02 - You do not need the smartest AI - 16x9,36,926,939,A MONTH.,
short 03 - Get paid for AI savings,1,0,26,THERE IS ALSO A,
short 03 - Get paid for AI savings,2,26,54,NEW BUSINESS MODEL,
short 03 - Get paid for AI savings,3,54,101,WHERE YOU CAN COME,
short 03 - Get paid for AI savings,4,101,125,"TO A COMPANY,",
short 03 - Get paid for AI savings,5,128,174,"INSTALL AI AND STUFF,",
short 03 - Get paid for AI savings,6,174,228,AND YOU GET PAID,
short 03 - Get paid for AI savings,7,228,267,BASED ON PERFORMANCE.,
short 03 - Get paid for AI savings,8,267,299,LIKE THE COMPANY IS,
short 03 - Get paid for AI savings,9,299,344,SPENDING 100 GRAND.,
short 03 - Get paid for AI savings,10,347,399,YOU SAVE THEM 50%.,
short 03 - Get paid for AI savings,11,404,426,50K.,
short 03 - Get paid for AI savings,12,426,494,"YOU TAKE 20%, 30%",
short 03 - Get paid for AI savings,13,494,516,OF THE SAVINGS.,SAVINGS
short 03 - Get paid for AI savings,14,516,530,"YEAH, THAT",
short 03 - Get paid for AI savings,15,530,549,MAKES SENSE.,
short 03 - Get paid for AI savings,16,552,576,AND IF YOU DO,
short 03 - Get paid for AI savings,17,576,606,THAT AT SCALE,
short 03 - Get paid for AI savings,18,612,663,AND INSTEAD OF 100K,
short 03 - Get paid for AI savings,19,663,696,"THAT WAS 1 BILLION,",
short 03 - Get paid for AI savings,20,699,717,THEN IT'S GOOD.,
short 03 - Get paid for AI savings - 16x9,1,0,26,THERE IS ALSO A,
short 03 - Get paid for AI savings - 16x9,2,26,54,NEW BUSINESS MODEL,
short 03 - Get paid for AI savings - 16x9,3,54,101,WHERE YOU CAN COME,
short 03 - Get paid for AI savings - 16x9,4,101,125,"TO A COMPANY,",
short 03 - Get paid for AI savings - 16x9,5,128,174,"INSTALL AI AND STUFF,",
short 03 - Get paid for AI savings - 16x9,6,174,228,AND YOU GET PAID,
short 03 - Get paid for AI savings - 16x9,7,228,267,BASED ON PERFORMANCE.,
short 03 - Get paid for AI savings - 16x9,8,267,299,LIKE THE COMPANY IS,
short 03 - Get paid for AI savings - 16x9,9,299,344,SPENDING 100 GRAND.,
short 03 - Get paid for AI savings - 16x9,10,347,399,YOU SAVE THEM 50%.,
short 03 - Get paid for AI savings - 16x9,11,404,426,50K.,
short 03 - Get paid for AI savings - 16x9,12,426,494,"YOU TAKE 20%, 30%",
short 03 - Get paid for AI savings - 16x9,13,494,516,OF THE SAVINGS.,SAVINGS
short 03 - Get paid for AI savings - 16x9,14,516,530,"YEAH, THAT",
short 03 - Get paid for AI savings - 16x9,15,530,549,MAKES SENSE.,
short 03 - Get paid for AI savings - 16x9,16,552,576,AND IF YOU DO,
short 03 - Get paid for AI savings - 16x9,17,576,606,THAT AT SCALE,
short 03 - Get paid for AI savings - 16x9,18,612,663,AND INSTEAD OF 100K,
short 03 - Get paid for AI savings - 16x9,19,663,696,"THAT WAS 1 BILLION,",
short 03 - Get paid for AI savings - 16x9,20,699,717,THEN IT'S GOOD.,
short 01 - AI that cuts server costs,1,0,20,THE FIRST THING I,
short 01 - AI that cuts server costs,2,20,53,DO WITH EVERY MODEL,
short 01 - AI that cuts server costs,3,57,86,IS CHECK MY,
short 01 - AI that cuts server costs,4,86,105,ENTIRE CODEBASE,CODEBASE
short 01 - AI that cuts server costs,5,105,137,FOR A FEW PROJECTS,
short 01 - AI that cuts server costs,6,137,168,THAT WE JUST KEEP,
short 01 - AI that cuts server costs,7,168,201,ON CONTINUOUSLY,
short 01 - AI that cuts server costs,8,201,219,UPGRADING.,
short 01 - AI that cuts server costs,9,219,240,WE IMPROVED,
short 01 - AI that cuts server costs,10,240,258,EVERYTHING.,
short 01 - AI that cuts server costs,11,258,279,"THEN I SAID, I",
short 01 - AI that cuts server costs,12,279,303,WANT TO MAKE SURE,
